,title,date,tags,summary
124, Midas Capital - REKT,"Tuesday, January 17, 2023","Midas Capital,Jarvis Network,REKT","The Midas touch has backfired, leaving a $660K hole in one of its jFIAT pools. The read-only reentrancy vulnerability is a known weakness of a recently introduced collateral type. Let’s hope this rushed decision doesn’t prove to be Midas’ undoing this time…"
125, War On Code - rekt.news meets The Defiant,"Thursday, December 29, 2022","Pertsev,Regulation,Interview","When overall integrity in cryptocurrency is at an all time low, the importance of unbiased & quality journalism becomes increasingly clear. rekt.news speaks to The Defiant about Alexey Pertsev and the current state of crypto journalism."
126, Highly regrettable trading strategy,"Wednesday, December 28, 2022","Avraham Eisenberg,Mango Markets","Code is not law. Avraham Eisenberg has been arrested in Puerto Rico. Despite the satisfaction of seeing this arrogant aggressor finally arrested, the consequences of his case do not look good for DeFi."
127, Raydium - REKT,"Monday, December 19, 2022","Raydium,Solana,REKT","On Friday, Raydium, a Solana-based AMM, lost a total of $4.4M in fees from its liquidity pools. Post-FTX, the future of Solana feels uncertain..."
128, Lodestar Finance - REKT,"Monday, December 12, 2022","Lodestar Finance,REKT",Lodestar Finance is the latest victim of the mass market manipulation that has affected both people and protocols across our industry. Lending pools drained for $6.5M put Lodestar at number 77 on the leaderboard.
129, Ankr & Helio - REKT,"Friday, December 2, 2022","Ankr,Helio,REKT","18 quadrillion dollars. That’s the theoretical value of the 60 trillion aBNBc that was illegitimately minted from Ankr. Unfortunately, that’s more than the GDP of the entire world, and the aBNBc liquidity couldn’t stretch that far, so the hacker only got away with $5M."
130, Euro's Last Stand,"Wednesday, November 30, 2022","ECB,CBDC,regulation","Desperate times call for desperate measures, such as propagandaposting from the European Central Bank Twitter account. Is the ECB giving financial advice?! This won’t age well."
131, SBF - MASK OFF,"Friday, November 18, 2022","SBF,REKT","SBF’s meltdown has gone from bad, to worse, to weird. The facade has fallen, and all his “beliefs” have turned out to be bullshit. The crypto movement is bigger than the failures of the past week, or at least, it will be..."
132, FTX - Yikes,"Thursday, November 10, 2022","yikes,dumb fuckin take,SBF,FTX,CZ,Binance","It’s all come crashing down for SBF, FTX and Alameda. Whether motivated by greed or altruism, the result is the same. The ends don’t justify the means - not when it ends like this."
133, Deribit - REKT,"Thursday, November 3, 2022","Deribit,CEX,REKT","Deribit has lost $28M from their hot wallets on the Ethereum and Bitcoin networks. As with all cases of “compromised keys”, only insiders can say for certain what caused the breach, but we have our usual suspects…"
134, Skyward Finance - REKT,"Thursday, November 3, 2022","Skyward Finance,NEAR,REKT",Skyward Finance has come crashing down to earth. The NEAR-based token launchpad had its treasury drained of approximately $3.2M. Don't fly too NEAR to the sun.
135, Team Finance - REKT,"Thursday, October 27, 2022","Team Finance,REKT","There’s no $ in Team. Four projects got rugged through their shared anti-rug mechanism. $15.8M lost, and number 46 on the leaderboard. Go Team."
136, SBF - The Regulator,"Friday, October 21, 2022","SBF,Regulation","After aggressively farming many of DeFi’s most lucrative opportunities since 2020, SBF is now suggesting his own industry standards, many of which go against the entire concept of decentralisation. Sam says we need “customer protection”. But from who?"
137, Moola Market - REKT,"Wednesday, October 19, 2022","Moola Market,REKT","Bear markets offer easy opportunities to market manipulators, who find it easier to move prices when liquidity is low. Lending protocol Moola Market is the latest to fall victim to a “highly profitable trading strategy”, and the first CELO protocol on the rekt.news leaderboard (#63)."
138, DAO Maker - Community Investigates,"Friday, October 14, 2022",DAO Maker,"This is a community-led investigation by rekt.news readers. DAO Maker, after getting rekt for $7M and then $4M last year, proposed a compensation plan to the affected users. But it appears the team had a change of heart."
139, Mango Markets - REKT,"Wednesday, October 12, 2022","Mango Markets,REKT","Solana’s flagship margin trading protocol lost 9 figures to a well-funded market manipulator. The attacker managed to spike the price of Mango Markets’ native token MNGO and drain their lending pools, leaving the protocol with $115M of bad debt."
140, TempleDAO - REKT,"Wednesday, October 12, 2022","TempleDAO,REKT",TempleDAO’s STAX was hacked for approximately $2.3M worth of LP tokens. The vulnerable contract had been live for four months. Why did it take so long to be exploited?
141, Sushiswap's Grey area,"Tuesday, October 11, 2022",Sushiswap,"Sushiswap has a new head chef. Let's hope he's washed his hands. After a long period of instability, the hiring of Jared Grey was supposed to bring back some focus to the “community fork” of Uniswap. But that focus has been misplaced already."
142, Sovryn - REKT,"Sunday, October 9, 2022","Sovryn,REKT","More fuel for the maxis. ~$1.1M was stolen from Sovryn, a “DeFi” protocol on the controversial “Bitcoin smart contract network” RSK."
143, BNB Bridge - REKT,"Friday, October 7, 2022","BSC,Bridge,REKT","Over half a billion stolen from the BNB bridge. If a chain can be stopped and started at a moment's notice, can it really be considered decentralised? Another bridge exploit, another entry on the leaderboard..."
144, Transit Swap - REKT,"Sunday, October 2, 2022","Transit Swap,REKT","Transit Swap has lost $21M to a vulnerability in its swap contracts. The cooperation between multiple security teams led to 70% of funds being returned. But a protocol using live, unverified contracts is never a good look in DeFi."
145, RIP MEV BOT,"Wednesday, September 28, 2022","MEV,REKT","Zero pity. The notorious MEV bot known as 0xbad has fallen on hard times, just like the rest of us. After 75 days of exploiting value from unexpecting users, this mempool menace backfired on its owner, creating a beautiful display of on-chain karma."
146, Wintermute - REKT 2,"Tuesday, September 20, 2022","Wintermute,Profanity,REKT","Wintermute have lost over $160M to their second incident this summer. Using a vanity address for ""gas savings"" has cost them dearly. Last time, funds were returned, will Wintermute get lucky again?"
147, Window of Opportunity,"Thursday, September 8, 2022","Regulation,Sanctions,Maker DAO","Maker DAO is going through a governance crisis. The US crypto crackdown combined with the falling markets has placed pressure on the protocol to define their purpose. Will Maker strive to preserve the crypto ideals and reject the legacy system? Or embrace growth, whatever the cost?"
148, Compound Errors,"Wednesday, August 31, 2022","Compound,Governance","Compound’s governance has backfired, and not for the first time. An oracle update has bricked the cEther market for a week. Compound say that “Funds are not immediately at risk, but this is a developing situation…”"
149, Winds of Change,"Friday, August 26, 2022","Tornado Cash,Sanctions,Regulation","It’s been a stormy summer for DeFi. The sanctioning of Tornado Cash has forced us to face certain questions about Ethereum’s future. Will the censorship-resistant, permissionless dream survive, or is OFAC’s influence an existential threat?"
150, Acala Network - REKT,"Monday, August 15, 2022","Acala Network,REKT","The billion that wasn't. Tornado sanctions didn’t deter these Polkadot thieves, who tried to steal ~$1.3B in aUSD from Acala Network."
151, Curve Finance - REKT,"Wednesday, August 10, 2022","Curve Finance,DNS hijack,REKT","Curve fell victim to a DNS hijacking yesterday, with approximately $575k lost to malicious contract approvals. For users, DeFi protocols are only as secure as their centrally-hosted front end. How much longer will web3 rely on web2?"
152, The Eye of the Storm,"Tuesday, August 9, 2022","Tornado Cash,Privacy,Sanctions","If you have nothing to hide, you have nothing to fear. Tornado Cash has been living on borrowed time, and now the crackdown has begun. Choose privacy while it’s still an option. It’s time to go dark..."
153, An Un-SOL-ved Mystery,"Wednesday, August 3, 2022","Solana,REKT","Approximately 8,000 addresses on the Solana network have been compromised, draining a total of ~$5.3M. Fear leads to rumours, and separating the signal from the noise is no easy task."
154, Nomad Bridge - REKT,"Tuesday, August 2, 2022","Nomad Bridge,REKT","Nomad Bridge has been torn apart, with $190M drained in a savage attack. This is the 100th incident to make it onto the leaderboard, but DeFi still has plenty of easy prey, and scavengers continue to circle overhead."
155, Nirvana Finance - REKT,"Friday, July 29, 2022","Nirvana Finance,Solana,REKT","Nirvana Finance lost $3.5M yesterday to a flash loan attack. It seems Solana’s relevance is waning, but will Nirvana get a chance at reincarnation?"
156, Audius - REKT,"Monday, July 25, 2022","Audius,REKT","Audius has fallen victim to a governance attack, losing $6M of its native token, AUDIO. Let’s hope their debut is a one-hit wonder."
157, Crema Finance - REKT,"Monday, July 4, 2022","Crema Finance,REKT","~$8.8M skimmed off the top. Crema Finance, a concentrated liquidity AMM on Solana, was exploited into issuing millions in excess LP fees."
158, Harmony Bridge - REKT,"Friday, June 24, 2022","Harmony Bridge,REKT",Harmony has hit a bum note. To the tune of $100M. Were nine figures really secured by just two signatures? And is this the final encore for Harmony Network?
159, 3AC Contagion,"Friday, June 24, 2022","Three Arrows,CeFi,SBF",Shockwaves from the Three Arrows implosion are still shaking the industry. Organisations such as Voyager and BlockFi are desperately looking for a lifeline. Can these CeFi casualties survive solely on the effective altruism of others?
160, EthCC - De Tychey vs Touts,"Thursday, June 23, 2022",EthCC,"Ticket Tout Tied up in Conference Crime Drama. A self-proclaimed group of “crypto enthusiasts” managed to trick the system for EthCC, purchasing 200 tickets with a plan to sell them on. But EthCC fought back, and now it's the scalpers who are out of pocket."
161, Bancor LP - REKT,"Wednesday, June 22, 2022",Bancor,"The flagship feature of Bancor v3, which protects LPs from the effects of volatility, has been suspended, due to… v o l a t i l i t y. If it sounds too good to be true, it probably is."
162, Everyone - REKT,"Wednesday, June 22, 2022","Everyone,REKT","So many sad stories. All corners of the industry are reporting major losses, after being punished relentlessly by the unforgiving market conditions. And it’s not just those who were leveraged who are feeling the pain."
163, Inverse Finance - REKT 2,"Thursday, June 16, 2022","Inverse Finance,REKT","Flipped again. $1.2M to the anonymous attacker, and $5.8M lost overall. After two hacks in such quick succession, will Inverse be able to survive this crypto winter?"
164, Celsius - REKT,"Tuesday, June 14, 2022","CeFi,Celsius,REKT","Celsius is burning up. As their positions approached liquidation point, and with users prevented from withdrawing their funds, many feared the worst. It now seems Celsius is cooling down, but will the markets forgive them?"
165, Gym Network - REKT,"Friday, June 10, 2022","Gym Network,BSC,REKT","Gym Network offers a “perfect workout for your tokens” but has pushed itself to failure, losing $2.1M. The project’s two audits were completed last month. Why introduce new code so soon and risk an injury?"
166, Wintermute - REKT,"Thursday, June 9, 2022","Wintermute,Optimism,REKT","The glass is half-empty for Wintermute who have lost 20M OP, worth ~$27.6M at the time of the incident. In an already struggling market, actions such as these make it hard to remain Optimistic."
167, Mirror Protocol - REKT,"Tuesday, May 31, 2022","Mirror,Terra,REKT 2","Mirror mirror on the wall… $90 million stolen, but that’s not all. Two exploits hit Mirror Protocol, and the larger of the two wasn’t even noticed at first."
168," Blizz Finance, Venus Protocol - REKT","Friday, May 13, 2022","Blizz Finance,Venus Protocol","The Luna fall-out continues. Venus Protocol on BSC and Blizz Finance on Avalanche have been drained of $13.5 and $8.3M, respectively. With shaky markets, and the first projects falling victim to the failure of LUNA and UST, how far will the damage spread?"
169, Luna - REKT,"Wednesday, May 11, 2022","Luna,UST,Anchor","Our house of cards is tumbling down. A multi-billion dollar protocol has fallen, crushing the hopes and dreams of thousands of users. The shockwaves have brought attention from far beyond our usual echo chamber. Now the whole world is watching. The death of Anchor Protocol has done an unprecedented amount of damage."
170, Fortress Protocol - REKT,"Monday, May 9, 2022","Fortress,REKT,BSC","Fortress is in ruins after $3M was stolen by an oracle manipulation and malicious governance act. The UI is paused, but the contracts remain live. Will Fortress's ecosystem bail out users for the lost funds?"
171, MM Finance - REKT,"Friday, May 6, 2022","MM Finance,REKT","Mad Meerkat Finance (not to be confused with normal Meerkat Finance) lost $2M to a DNS exploit. Back-end attacks, front-end attacks, when will we see the end of the attacks?"
172, Monkey Business,"Thursday, May 5, 2022","BAYC,NFT","In just one year, Bored Ape Yacht Club has evolved from a niche NFT, into a whole ecosystem, and a mainstream means of flexing wealth. The rise of BAYC has been unstoppable, but the recent Otherdeeds mint was far from perfect. What's next for BAYC?"
173, Fei Rari - REKT 2,"Sunday, May 1, 2022","Fei,Rari,REKT",Fei Rari - rekt. Seven of Rari’s Fuse pools were drained for a total of ~$80M. This isn’t the first time that Rari's got rekt - lets hope the hackers don’t go for a hat trick.
174, Saddle Finance - REKT 2,"Sunday, May 1, 2022","Saddle Finance,REKT","$11M was stolen from Saddle Finance yesterday, with a further $3.8M taken in a rescue by BlockSec. Despite claiming that “user funds are safe”, Saddle later clarified they were only referring to the amount that was not stolen. rekt.news can clarify that the $11 million that was stolen, is not safe."
175, Deus DAO - REKT 2,"Thursday, April 28, 2022","Deus DAO,Fantom,REKT","Deus DAO double damage. In an unfortunate sequel to last month’s incident, the protocol has now lost a further $13.4M. How did the attacker bypass the new oracle?"
176, Big Phish,"Tuesday, April 19, 2022","North Korea,Ronin","The DeFi class of 2022 has introduced some unexpected players. The FBI have announced that a collective of North Korean state-sponsored hackers (The Lazarus Group) are responsible for multiple DeFi hacks, including the largest - the Ronin Network."
177, Beanstalk - REKT,"Monday, April 18, 2022","Beanstalk,REKT","$181M jacked from Beanstalk, but the attacker only kept $76M. A malicious governance proposal was pushed through by a flash loan, and the attacker then voted to transfer all the assets to themself, but not before donating $250K to the Ukraine war fund."
178, Elephant Money - REKT,"Wednesday, April 13, 2022","Elephant Money,REKT",An audit couldn’t protect Elephant Money from the on-chain poachers. Solidity Finance failed to notify Elephant about a vulnerability which was later exploited for $22.2M.
179, Inverse Finance - REKT,"Saturday, April 2, 2022","Inverse Finance,REKT",Inverse Finance got flipped for ~$15M. A professionally executed hack allowed an anonymous actor to manipulate the price of INV and help themself to an exclusive deal from the ETH based lending protocol.
180, Voltage Finance - REKT,"Thursday, March 31, 2022","Voltage Finance,Ola Finance,REKT","Voltage Finance has been exploited for ~$4M via its partner Ola Finance. Earlier this month, a similar incident on the xDAI chain gave the teams using Compound’s code plenty of warning. But somehow, neither Voltage nor Ola got the news."
181, Ronin Network - REKT,"Tuesday, March 29, 2022","Ronin,REKT","A new number one on the leaderboard. ~$624M stolen from Ronin Network, but nobody even noticed for 6 days. Will the attacker try to launder the loot?"
182, Revest Finance - REKT,"Monday, March 28, 2022","Revest Finance,REKT","~$2M taken from Revest Finance. “One audit is never enough” says Revest, as they found that a reentrancy vulnerability was not picked up in their security checks."
183, Cashio - REKT,"Wednesday, March 23, 2022","Cashio,REKT,Solana","$48M CASHed out. The latest leaderboard entry comes from the Solana network, where an anonymous attacker used an infinite mint to make Cashio print faster than the Fed."
184," Agave DAO, Hundred Finance - REKT","Tuesday, March 15, 2022","Agave,Hundred,REKT","Two forks met the same fate. Agave DAO and Hundred Finance both fell victim to the same reentrancy attack. A combined total of $11.7M stolen. Considering the structure of DeFi today, the double damage is not surprising."
185, Deus DAO - REKT,"Tuesday, March 15, 2022","Deus DAO,Fantom,REKT","Deus rekt machina. An unexpected plot twist saw Deus DAO users liquidated, with the attacker making ~$3M profit. Flash loan attacks are not as common they once were. Is DeFi growing stronger?"
186, Treasure DAO - REKT,"Thursday, March 3, 2022","Treasure DAO,NFT,REKT","Swiggity swooty, somebody plundered the Treasure DAO booty. ~$1.4M worth of NFTs has been stolen from the largest NFT marketplace on Arbritrum, leaving the OpenSea competitor stranded in deep water."
187, Airdrop Siren,"Wednesday, March 2, 2022","Ukraine,Airdrop","When the Ukrainian government announced that they would be accepting crypto donations, Twitter was quick to begin making jokes about potential airdrops. Then it really happened."
188, Cy-Ops,"Saturday, February 26, 2022","Propaganda,Russia,Ukraine","As Ukrainian forces fight to defend Kyiv against Russian aggression, a parallel digital battle is underway. If cryptocurrencies allow nation states to sidestep economic sanctions, how will we apply diplomatic pressure in the future?"
189, Dego Finance - REKT,"Thursday, February 10, 2022","Dego Finance,Cocos-BSX,REKT","$10M taken from Dego Finance and their partner Cocos-BCX. Dego have claimed this to be a case of compromised keys, leaving us wondering, why didn't they use a multi-sig?"
190, Superfluid - REKT,"Wednesday, February 9, 2022","Superfluid,REKT","$8.7M drained from Superfluid. The crypto streaming protocol was exploited by an anonymous attacker, causing collateral damage to several other DAO's."
191, Meter - REKT,"Monday, February 7, 2022","Meter,Hundred,REKT","Building bridges is a dangerous business. Another attack sees $4.4M taken from Meter.io on BSC, making Hundred Finance lose $3.3M in collateral damage."
192, Wormhole - REKT,"Thursday, February 3, 2022","Wormhole,Solana,REKT","Wormhole had a loophole... A hacker distorted the fabric of Solana's space-time, netting $326M in the process. How did Wormhole return so much ETH so fast?"
193, Qubit Finance - REKT,"Friday, January 28, 2022","Qubit Finance,BSC,REKT","In other news... Qubit Finance, a protocol by the team behind repeat offender PancakeBunny, has fallen victim to an $80M exploit. But will anyone remember this next week?"
194, Sifu Scandal,"Friday, January 28, 2022","0xSifu,Sesta,Wonderland","All funds are Sifu. An on-chain sleuth discovered that all was not well in Sesta's Wonderland, and the impacts of Quadriga are far from forgotten."
195, Crypto.com - REKT,"Wednesday, January 19, 2022","CEX,REKT","Another CEX rekt, but they have yet to admit it. ~$33.7M taken, hundreds of users affected, and Crypto.com are still claiming that ""funds are safe""."
196, Airdrop Hunters II,"Saturday, January 15, 2022",Airdrop,There’s money to be made in giving money away. Recent airdrops have gained huge amounts of attention. But can the coin creators create a lasting community with no real product of their own?
197, LCX - REKT,"Monday, January 10, 2022","CEX,CeFi,LCX,REKT","Nothing to see here… Another CEX rekt, $7.94M stolen. The USP of centralised finance grows smaller by the day."
198, Arbix Finance - REKT,"Tuesday, January 4, 2022","Arbix Finance,REKT","New year, old news. Rug pulls are common on Binance Smart Chain; we’re only mentioning this one because it was larger than most. ~$10 million taken, and Arbix Finance are nowhere to be seen."
199, Visor Finance - REKT,"Wednesday, December 22, 2021","Visor Finance,REKT","It is the season of giving, and Visor Finance is going all in. Visor allowed an anonymous actor to mint $8.2M in VISR."
200, Bent Finance - REKT,"Tuesday, December 21, 2021","Bent Finance,REKT",Who has been bending the rules at Bent Finance? ~$1.75M taken. Inspector rekt sets things straight.
201, Grim Finance - REKT,"Monday, December 20, 2021","Grim Finance,REKT","Don’t fear the reaper. Grim Finance is rekt. $30M gone, position 18 on the leaderboard."
202, Vulcan Forged - REKT,"Monday, December 13, 2021","Vulcan Forged,CEX,REKT","Four cases in ten days. $140M gone from Vulcan Forged. ""Compromised keys"" are so hot right now."
203, Ascendex - REKT,"Sunday, December 12, 2021","Ascendex,REKT",Two CEX rekt in one week. Why do we see more “compromised keys” in uncertain markets? $77.7M gone from Ascendex.
204, 8ight Finance - REKT,"Wednesday, December 8, 2021","8ight Finance,REKT","Although this is our first story taking place on the Harmony chain, there’s nothing new about the protocol. Another Olympus fork, another set of ""compromised keys"". $1.75M gone."
205, Sushiswap Scandal,"Monday, December 6, 2021","Sushiswap,leak","Internal arguments, fired whistleblowers, and dismissed developers have brought dark times upon the once popular “community-led” decentralised exchange. How did it go so wrong for Sushiswap?"
206, BitMart - REKT,"Sunday, December 5, 2021","CeFi,BitMart,REKT","Is CeFi any safer than DeFi? If not, why use it? BitMart has lost $196M, placing it at number 2 on our leaderboard. Will they commit to refunding their users?"
207, REKT:TV - Ape Tax,"Friday, December 3, 2021","ape tax,rektTV","Ape Season is here, and Ape Tax must be paid. Just as relevant as when it was first published in December of 2020, our second major video release is an animated assessment of our online gambling culture."
208, Badger - REKT,"Thursday, December 2, 2021","Badger,REKT","rekt roadkill. $120M taken in a front-end attack, placing Badger at number four on the leaderboard. rekt repeats; ""infinite approval means unlimited trust."""
209, MonoX - REKT,"Tuesday, November 30, 2021","MonoX,REKT",rekt by their own token. Mono X lost $31M via a price manipulation of their recently launched $MONO. How did two audits not prevent this?
210, Snowdog - REKT,"Friday, November 26, 2021","Snowdog,Avalanche,REKT",A “game theory experiment” or a new breed of rug pull? ~$18M snapped up by just the first two transactions of Snowdog’s buyback. Was it luck or inside information that led the top dogs to success?
211, Uniswap V3 LP - REKT,"Thursday, November 18, 2021",Uniswap,It’s not all rainbows and unicorns in Uniswap V3. A recent study suggests that ~50% of UNI V3 LPs are losing money.
212, Airdrop Hunters,"Wednesday, November 17, 2021",Airdrop,"It’s airdrop season. Tokenised responsibility is falling thick and fast. But do users want to govern, or do they prefer to speculate?"
213, bZx - REKT,"Saturday, November 6, 2021","bZx,REKT","Attacks can come from all angles. Straight to number 6 on our leaderboard for bZx, who lost $55M to a phishing attack."
214, Cream Finance - REKT 2,"Thursday, October 28, 2021","Cream,Yearn,REKT",Cream Finance has been hacked (again) for ~$130 million. The Yearn Finance decentralised monopoly has grown too large. Why accumulate so many protocols if you don’t care for their users?
215, Indexed Finance - REKT,"Friday, October 15, 2021","Indexed Finance,REKT","$16 million taken from Indexed Finance. That’s one more protocol added to the rekt register, and $16 million more on our leaderboard. Is anonymity the only way to stay safe?"
216, FTX - Terms & Commissions,"Wednesday, October 6, 2021","FTX,SBF","This is a customer service announcement. Will FTX please comply with their own terms and conditions? An unhappy FTX user came to us for help after they were overcharged ~$954,135 by the centralised exchange."
217, Compound - REKT,"Monday, October 4, 2021","Compound,REKT","It’s worse than we thought. Last week ~$80M in excess COMP was wrongly distributed. Now another ~$68.8M has been sent to the vulnerable vault, and even more COMP is being given away."
218, Overcompensated,"Thursday, September 30, 2021",Compound,"A Compound governance proposal contained a bug which allowed for the distribution of ~$80M in excess COMP rewards. Mistakes were made, but who lost out?"
219, Anniversary Auction,"Monday, September 27, 2021",Hello World,"To celebrate our one year anniversary, and to fund our future development, we have created 20 unique NFTs. Visit OpenSea now to view the full collection."
220, One year of rekt.news,"Thursday, September 23, 2021",Hello World,12 months have passed since our Hello World. This is your chance to own a piece of rekt.news. Our anniversary auction sale is now live.
221, Vee Finance - REKT,"Tuesday, September 21, 2021","Vee Finance,REKT","Top ten thievery. $34 million taken from Vee Finance earns them the number 7 spot on our leaderboard, yet nobody seems surprised. What’s normal for us is not normal elsewhere."
222, JayPegs Automart - REKT,"Saturday, September 18, 2021","NFT,Sushi,JayPeg,REKT","A blue-chip rekt by a front-end attack. Remind us, which part of crypto is supposed to be “trustless”? Misplaced faith (temporarily) cost MISO $3.1 million."
223, Spotlight on Solana,"Monday, September 13, 2021","Solana,Spotlight","Was that Solana Summer? These cheaper, faster, centralised chains put the Ethereum ""community"" to the test. But are their claims accurate?"
224, DAO Maker - REKT,"Monday, September 6, 2021","DAO Maker,REKT","DAO Maker meet their maker. Again. $4M lost, less than a month after losing $7M. If you get rekt on repeat then we have to say something..."
225, Tomb Finance - REKT,"Friday, September 3, 2021","Tomb Finance,Fantom,REKT","The raid of Tomb Finance makes for Fantom's first fatality. The Tomb team say it wasn't a hack, but we’ll let the rekt readers be the judge of that."
226, Banksy Pranksy Scam,"Wednesday, September 1, 2021","Banksy,Pranksy,NFT","The Banksy Pranksy Scam caught the attention of even the mainstream media, but nobody tried to find the truth. Was it a publicity stunt, or ""performance art""? We stop and search the suspects to find out more."
227, Cream Finance - REKT,"Monday, August 30, 2021","Cream,REKT","Inspector rekt back once again. $18.8M lost to a ghostface killer, this time from an old school DeFi protocol."
228, X-Token - REKT X2,"Monday, August 30, 2021","X-Token,REKT","Some sequels should never be written. Three months ago this team lost $24 million - in the same token, to the same attack technique. Why did they let it happen again?"
229, A Piece of Art,"Friday, August 27, 2021","NFT,fractionalisation","Chop it up, pump the price, and ramp up the speculation. NFT Fractionalisation has arrived, and influencers are getting hilariously rich, but for how long?"
230, Punk Protocol - REKT,"Friday, August 13, 2021","Punk Protocol,REKT","Punk is dead. On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned."
231, Poly Network - REKT,"Wednesday, August 11, 2021","Poly Network,REKT","This is it rekt readers; the big one. $611M stolen from Poly Network, but has the hacker had a change of heart? They're returning the money bit by bit."
232, Levyathan - REKT,"Thursday, August 5, 2021","Levyathan,REKT","Levyathan Finance sank last week, along with its TVL of $1.5M. Basic errors lead to total destruction. Bad intentions or just raw incompetence? You decide."
233, Popsicle Finance - REKT,"Wednesday, August 4, 2021","Popsicle,REKT",Protocol meltdown. ~$20 million gone. A complex hack of a simple bug leaves Popsicle Finance in a sticky situation.
234, THORChain - REKT 2,"Monday, July 26, 2021","THORChain,REKT",THORChain took a hammering. Recently the protocol was hit for $5M. A second strike saw them lose another $8M. What's next for THOR and their fanatical followers?
235, PancakeBunny - REKT 2,"Sunday, July 18, 2021","PancakeBunny,Polygon,REKT","Two months ago PancakeBunny got rekt on BSC, now the same thing has happened on Polygon. $2.4 million lost. How earitating."
236, THORChain - REKT,"Friday, July 16, 2021","THORChain,REKT","Even the old gods cannot escape the exploits. As the cross-chain attacks continue, THORChain becomes the latest victim. $5 million lost."
237, Bondly - REKT,"Thursday, July 15, 2021","Bondly,REKT","In which Bondly battles the infinite mint. BONDLY token holders are now at a loss, due to an infinite mint exploit in which the attacker made a profit of $5.9 million."
238, Anyswap - REKT,"Tuesday, July 13, 2021","Anyswap,REKT","The bridges are burning. Anyswap and Chainswap in 24 hours. They say it's fixed, but can you trust them?"
239, ChainSwap - REKT,"Tuesday, July 13, 2021","ChainSwap,REKT","As the demand for DeFi increases across chains, the bridges that join them turn into targets themselves. A chain is only as strong as its weakest link… Who will break next?"
240, Curve Wars,"Thursday, July 8, 2021",Curve,"A battle for power is being fought between different DeFi protocols. There are no losers, only smaller winners. The game continues until everyone is dead."
241, Merlin Labs - R3KT,"Tuesday, June 29, 2021","Merlin Labs,R3KT",The third time’s a charm for Merlin Finance. Why do people keep going back?
242, SafeDollar - REKT,"Monday, June 28, 2021","SafeDollar,Polygon,REKT","Your dollars are not safe and they never were. Just $248k taken from a protocol that was called ""SafeDollar."""
243, StableMagnet - REKT,"Thursday, June 24, 2021","StableMagnet,BSC,REKT","A few hours before the attack, we received a message from an anonymous source suggesting that StableMagnet would rugpull. We couldn’t verify the claims, so our hands were tied."
244, Eleven Finance - REKT,"Wednesday, June 23, 2021","Eleven Finance,BSC,REKT","This one almost struck a nerve. Eleven.finance, a yield aggregator on Binance Smart Chain (BSC) and Polygon (MATIC) was exploited for a total of $4.5M."
245, Alchemix - REKT,"Friday, June 18, 2021","alchemix,REKT",DeFi is a volatile protoscience. The Alchemix post-mortem shows how modern-day alchemists almost succeeded at safely creating gold out of the ether.
246, Iron Finance - REKT,"Thursday, June 17, 2021","Iron Finance,algorithmic,rekt","Not a hack but a stampede. The bull market finished late on Iron Finance, but the IRON stablecoin quickly melted when a mass panic gripped the nervous TITAN token holders."
247, Ultravolatile,"Tuesday, June 15, 2021","markets,doge","The markets may have cooled off, but the fundamentals remain the same. If the dog and genital coins didn’t prepare you for a bit of the old ultra-volatility, then what did you think was going to happen?"
248, Belt - REKT,"Saturday, May 29, 2021","Belt,BSC,Rekt",Welcome to the slaughterhouse. Another fork of a fork has rolled off the conveyor belt with $6.3M falling straight into the hands of the hacker.
249, BurgerSwap - REKT,"Friday, May 28, 2021","BurgerSwap,REKT",The hackers are really spoiling us this week with our fourth helping of the exact same meal. Can you ever really get tired of a classic? $7.2M was stolen from BurgerSwap in just 14 servings.
250, Merlin Labs - REKT 2,"Thursday, May 27, 2021","Merlin Labs,REKT 2","Once was not enough for Merlin Labs. Just 8 hours after the first attack, they lost another ~200 ETH, yet still they remain at the bottom of the leaderboard. Must try harder."
251, Merlin Labs - REKT,"Wednesday, May 26, 2021","Merlin Labs,REKT","The PancakeBunny attack pulled the rabbit out of the hat, now a surprisingly similar string of attacks emerges from Binance Smart Chain. $680,000 taken from Merlin Lab."
252, Autoshark - REKT,"Tuesday, May 25, 2021","Autoshark,REKT","Autoshark hacked, now they swim with the fishes, although the damage was small - only ~$745k profit. Perhaps the hacker who donated $100k DAI to the rekt.news treasury didn’t like to see Autoshark fishing for promotion in the replies."
253, rekt:TV - Hopium Diaries - Dystopian Dreams,"Monday, May 24, 2021","hopium diaries,rektTV",Follow our anonymous author into a future of finance. Not one that will be but one that might be.
254, Blood in the streets II,"Thursday, May 20, 2021","liquidation,markets,rekt","What was all the panic about?! We all knew it was only temporary, didn't we??? Another bloodbath, this time perhaps slightly overdue. Now the markets have settled somewhat, do you dare be as long as before?"
255, PancakeBunny - REKT,"Thursday, May 20, 2021","PancakeBunny,BSC,REKT","The BSC bloodbath continues. $45 million gone from ""PancakeBunny"". At its peak, Pancake Bunny had over $10 billion in TVL. At the time of writing, that TVL is down to just over $1 billion. “Aren’t Flash loans Earitating” said the hacker."
256, bEarn - REKT,"Monday, May 17, 2021","bEarn,REKT","$18 million gone from bEarnFi. Has the hacker returned richer to their day job, or do they attack on weekends as they expect less attention? As we watch the rapid rise and fall of TVL on BSC, it becomes even more apparent that time is the most valuable audit of all."
